BL040126	BL040223	BL040322	BL040419	BL040525	BL040628	BL040719	BL040831	BL040929	BL041019	BL041116	BL041214	BL050120	BL050215	BL050309	BL050413	BL050510	BL050607	BL050705	BL050803	BL050913	BL051004	BL051108	BL051213	BL060111	BL060207	BL060307	BL060404	BL060516	BL060613	BL060704	BL060801	BL060912	BL061010	BL061107	BL061211	BL070116	BL070220	BL070320	BL070424	BL070515	BL070605	BL070703	BL070801	BL070912	BL071016	BL071113	BL071211	BL080115	BL080212	BL080311	BL080408	BL080507	BL080602	BL080702	BL080805	BL080902	BL081014	BL081113	BL081211	BL090113	BL090210	BL090317	BL090421	BL090512	BL090609	BL090721	BL090804	BL090915	BL091006	BL091105	BL091222	BL100120	BL100217	BL100322	BL100412	BL100525	BL100622	BL100706	BL100803	BL100914	BL101019	BL101116	BL101214	BL110112	BL110208	BL110314	BL110412	BL110517	BL110615	BL110704	BL110802	BL110913	BL111010	BL111129	BL111219	BL120110	BL120214	BL120313	BL120411	BL120518	BL120620	BL120703	BL120807	BL120913	BL121009	BL121106	BL121211	BL130115	BL130206	BL130312	BL130417	BL130507	BL130604	BL130709	BL130801	BL130917	BL131015	BL131105	BL131204
en_ASV_00727	24	7	11	1	0	0	0	0	0	2	5	22	16	9	11	2	0	0	0	0	0	0	0	7	13	10	26	0	0	0	0	0	0	0	2	0	5	5	4	0	0	0	0	0	0	2	14	23	14	33	9	1	0	0	0	0	1	3	32	28	23	4	1	0	0	0	0	0	0	0	30	8	22	20	12	0	0	0	0	0	0	0	41	16	11	15	9	0	0	0	0	0	0	1	45	23	7	12	12	0	0	0	0	0	0	0	75	25	1	9	13	0	0	0	0	0	0	0	7	19
bn_ASV_000135	26	7	6	0	0	0	0	0	0	0	0	45	30	3	14	0	0	0	0	0	0	0	13	43	40	0	1	0	0	0	0	0	0	0	21	24	9	12	0	0	0	0	0	0	0	0	22	20	39	8	0	0	0	0	0	0	0	0	45	58	47	5	4	0	0	0	0	0	0	0	22	33	44	7	4	0	0	0	0	0	0	0	14	33	30	10	3	0	0	0	0	0	0	0	15	25	30	4	1	0	0	0	0	0	0	0	11	11	0	7	0	0	0	0	0	0	0	0	3	22
bp_ASV_000135	34	11	0	0	0	0	0	0	0	6	67	87	44	29	0	0	0	0	0	0	22	0	13	91	55	8	0	0	0	0	0	0	0	0	0	26	15	8	0	0	0	0	0	0	0	0	35	61	44	14	3	0	0	0	0	0	0	0	78	0	64	4	2	0	0	0	0	0	0	0	46	110	65	22	4	0	0	0	0	0	0	0	30	50	28	13	0	0	0	0	0	0	0	0	16	26	39	24	0	3	0	0	0	0	0	1	19	38	14	9	10	0	0	0	0	0	0	0	2	69
ep_ASV_00164	0	0	0	0	0	49	7	27	0	0	0	0	0	0	0	12	0	4	0	0	0	0	9	0	0	0	0	0	0	0	32	0	6	0	0	0	0	0	0	0	7	8	18	21	0	7	0	0	0	0	0	0	0	1	9	10	48	2	0	0	0	0	0	0	0	0	0	25	7	4	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	60	27	45	11	19	14	0	0	0	0	0	0	0	100	29	24	8	10	0	0	0	0	0	0	0	36	6	4	27	7	5	0
bp_ASV_000156	0	0	0	0	0	28	10	7	12	7	4	0	0	0	10	13	9	14	0	25	0	0	1	0	0	0	0	0	0	11	35	0	0	9	0	0	0	0	0	0	18	19	32	11	19	16	0	0	0	0	0	0	0	14	15	7	9	6	3	0	0	0	0	0	0	11	12	17	15	9	7	0	0	0	0	0	3	26	27	6	17	0	2	0	0	0	0	0	7	49	34	16	24	9	0	0	0	0	0	0	0	38	29	21	23	11	1	2	0	0	0	0	3	7	19	6	25	8	8	0
bn_ASV_000079	0	0	0	0	0	0	51	0	0	17	0	23	0	0	0	0	0	54	88	0	0	0	0	0	0	0	0	0	0	0	72	20	14	15	34	13	5	0	0	0	5	12	38	38	7	18	5	11	0	0	0	0	0	0	145	58	57	21	17	10	3	0	0	0	0	0	19	24	165	27	17	6	15	0	0	14	1	2	39	29	115	47	36	9	8	0	0	6	1	2	33	54	105	63	37	12	16	0	0	4	0	0	16	53	79	85	57	30	29	0	0	0	0	0	25	113	66	113	40	36
bn_ASV_000245	0	0	1	0	0	24	35	24	36	7	2	0	0	0	0	0	0	0	23	77	11	7	2	0	0	0	1	0	0	0	0	92	5	62	5	0	0	0	0	0	0	0	0	13	8	9	0	0	0	0	0	0	0	0	121	33	9	4	0	0	0	0	0	0	0	0	15	12	6	15	0	0	0	0	0	0	0	0	37	35	16	10	7	1	0	0	0	0	0	0	24	51	27	10	8	2	0	0	0	0	0	0	9	119	52	6	4	1	0	0	0	0	0	0	9	4	9	32	20	1
en_ASV_00059	0	0	0	0	10	27	258	2	0	5	0	0	0	0	0	0	0	15	4	0	0	0	0	0	0	0	0	0	0	26	208	77	23	66	0	0	0	0	0	0	7	49	12	85	0	0	0	0	0	0	0	0	0	1	65	853	48	25	0	0	0	0	0	0	0	0	4	99	78	0	2	0	2	0	0	0	1	4	383	253	68	72	3	0	0	0	0	0	2	7	983	313	94	207	2	0	0	0	0	0	0	9	1506	239	229	946	3	0	0	0	0	0	0	10	1694	651	6	37	2	0
bn_ASV_000069	0	0	0	0	0	18	94	16	41	0	12	0	0	1	0	0	0	0	7	0	53	0	0	0	0	0	0	0	0	19	53	106	12	0	6	0	0	0	0	0	0	0	11	22	11	0	11	0	0	0	0	0	0	0	0	21	44	4	0	0	0	3	0	0	0	2	73	22	38	21	0	0	0	0	0	0	0	6	44	21	33	11	0	0	0	0	0	0	0	3	29	16	38	20	1	0	0	1	0	0	0	1	24	25	32	22	0	2	0	0	0	0	0	0	9	60	23	8	0	1
bn_ASV_000001	112	0	52	0	24	163	1277	75	892	879	351	828	301	11	81	0	29	1386	2179	441	1752	2433	562	158	90	16	12	0	91	279	1534	1675	1921	1338	617	387	236	17	38	31	269	594	1071	2190	598	785	270	346	169	63	21	0	11	359	1025	2134	1452	1061	419	394	122	13	48	11	169	341	1584	833	2191	942	763	168	147	40	46	774	119	464	1428	1349	1768	1124	691	320	198	55	44	432	149	617	1336	1431	1667	1273	744	432	319	124	62	330	229	1042	1406	1789	1047	1539	805	610	729	221	122	83	244	1602	1347	1260	2344	1393	711	659
ep_ASV_00008	0	0	0	0	0	0	336	389	301	106	74	0	0	0	284	23	58	33	0	213	0	30	0	0	0	0	0	0	232	0	70	2756	352	578	1	0	0	0	0	0	0	0	49	240	138	51	0	30	0	0	0	0	0	0	9	374	499	405	0	0	0	0	0	0	0	0	114	138	182	124	0	0	0	0	0	0	0	0	156	190	0	47	0	0	0	0	0	47	12	1	74	244	152	68	0	0	0	0	0	0	0	76	21	247	118	93	0	0	0	0	0	0	411	15	168	811	148	17	18	0
ep_ASV_00158	0	0	0	0	0	24	35	34	8	8	0	3	0	0	0	1	0	50	0	0	0	0	11	0	0	0	0	0	0	16	106	24	0	11	0	1	0	0	0	0	14	13	36	12	4	7	4	0	0	0	0	0	0	8	2	0	3	8	0	0	0	0	0	0	0	6	1	24	2	5	2	1	0	0	0	0	0	47	7	3	0	0	0	0	0	0	0	0	3	87	35	3	34	24	3	0	0	0	0	0	0	30	33	41	17	21	1	0	0	0	0	0	0	0	50	1	2	0	0	0
en_ASV_00406	34	52	24	15	0	0	0	0	0	0	0	58	17	62	16	12	0	0	0	0	0	0	0	0	86	102	47	0	0	0	0	0	0	0	0	0	30	104	0	0	0	0	0	0	0	0	17	0	61	0	0	0	0	0	0	0	0	0	12	26	76	47	42	0	0	0	0	0	0	0	0	0	37	123	0	0	0	0	0	0	0	0	22	17	44	83	16	0	0	0	0	0	0	0	15	29	61	69	30	0	0	0	0	0	0	0	21	50	52	88	49	0	0	0	0	0	0	0	0	13
en_ASV_01073	2	0	3	0	4	0	0	0	0	0	6	0	3	3	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	3	0	5	7	5	8	0	0	0	0	0	0	0	11	11	16	0	4	0	1	0	0	0	0	5	29	7	10	1	3	0	0	0	0	0	0	0	6	7	11	0	9	0	0	0	0	0	0	2	9	9	3	2	16	0	0	0	0	0	0	0	12	13	2	2	33	0	0	0	0	0	0	0	12	11	0	1	50	0	0	0	0	0	0	0	0	0
bp_ASV_000271	18	5	0	0	0	0	0	0	0	0	3	0	20	11	0	0	0	0	0	0	19	0	0	11	8	7	3	0	0	0	0	0	0	0	0	33	18	6	0	0	0	0	0	0	0	0	6	17	0	12	9	0	0	0	0	0	0	0	20	0	23	11	8	0	0	0	0	0	0	0	8	17	21	33	9	0	0	0	0	0	0	0	25	34	21	7	7	0	0	0	0	0	0	0	0	0	18	18	0	3	0	0	0	0	0	0	3	17	13	28	12	0	0	0	0	0	0	0	1	8
bp_ASV_000222	18	8	0	0	0	0	0	0	0	0	6	12	20	0	0	0	0	0	0	0	34	0	0	23	19	0	4	0	0	0	0	0	0	0	0	16	24	22	0	0	0	0	0	0	0	1	0	23	43	26	11	0	0	0	0	0	0	0	13	135	27	23	13	0	0	0	0	0	0	0	5	17	52	25	11	0	0	0	0	0	0	0	14	21	14	26	16	0	0	0	0	0	0	0	0	6	18	20	12	0	0	0	0	0	0	0	0	16	14	8	28	3	0	0	0	0	0	0	0	7
